Plot_Number,Owner_Name,NRC_Number,Location,Plot_Size_sq_m,Land_Use,Title_Deed,Tenure,Registration_Date,Encumbrances,GPS_Coordinates,Ground_Rent_Status
NDL-0001,George Chanda,481570/30/5,Kabushi,800,Residential,TDR-2008-2405,State Land,2017-10-31,None,"-12.961340,28.623607",Paid
NDL-0002,Joseph Zulu,449542/27/2,Masala,2000,Industrial,TDR-2015-6614,State Land,2020-11-07,None,"-12.984065,28.627874",Paid
NDL-0003,GreenFields Resources,438785/50/7,Chililabombwe Road,3000,Agricultural,TDR-2014-7558,State Land,2023-04-04,None,"-12.967248,28.657768",Paid
NDL-0004,Moses Lungu,367169/39/7,Kansenshi,1693,Mixed Use,TDR-2021-1571,Leasehold (99 yrs),2015-02-22,None,"-12.982278,28.639544",Paid
NDL-0005,Brian Ndalama,767089/27/8,Chililabombwe Road,800,Commercial,TDR-2012-3244,State Land,2007-06-22,None,"-12.989693,28.626711",Arrears
NDL-0006,Kansenshi Traders Holdings,217556/31/9,Industrial Area,400,Residential,TDR-2015-3225,Freehold,2015-02-17,Caveat,"-12.971200,28.641380",Paid
NDL-0007,Angela Chola,605463/45/7,Kitwe Road,350,Residential,TDR-2019-3241,Leasehold (65 yrs),2011-04-16,None,"-12.992741,28.626431",Paid
NDL-0008,James Kaunda,963532/11/1,Kitwe Road,1597,Mixed Use,TDR-2007-2807,State Land,2010-07-18,None,"-12.991819,28.622526",Paid
NDL-0009,Samuel Chola,735117/49/4,Industrial Area,20000,Industrial,TDR-2014-5171,Leasehold (65 yrs),2021-02-01,None,"-12.991223,28.630267",Paid
NDL-0010,ZamBuild Ltd,376412/19/2,Kansenshi,2000,Industrial,TDR-2021-6411,State Land,2021-08-07,None,"-12.978047,28.634716",Paid
NDL-0011,Moses Mwanza,133917/48/4,Itawa,250,Residential,TDR-2015-1014,State Land,2022-12-13,None,"-12.969810,28.655751",Paid
NDL-0012,George Chanda,412614/32/1,Town Centre,5000,Agricultural,TDR-2021-8214,Leasehold (99 yrs),2015-06-12,None,"-12.990995,28.658433",Paid
NDL-0013,Mary Kapasa,577266/47/4,Kitwe Road,2000,Industrial,TDR-2020-1660,State Land,2006-01-15,None,"-12.967424,28.654948",Paid
NDL-0014,George Mwanza,400706/29/9,Garden,1500,Agricultural,TDR-2008-9913,Leasehold (65 yrs),2012-08-06,None,"-12.984031,28.648802",Paid
NDL-0015,Peter Lungu,197621/17/2,Chifubu,2000,Industrial,TDR-2024-7026,Leasehold (65 yrs),2015-04-28,None,"-12.979999,28.652636",Paid
NDL-0016,Beatrice Phiri,134624/23/2,Masala,5000,Agricultural,TDR-2007-7700,Leasehold (65 yrs),2013-01-19,None,"-12.997200,28.643495",Paid
NDL-0017,Michael Mwanza,573376/50/4,Ndeke,500,Commercial,TDR-2013-3272,Leasehold (65 yrs),2005-06-30,None,"-12.965800,28.634847",Paid
NDL-0018,Chibwe Banda,721981/29/4,Kabushi,400,Commercial,TDR-2005-4243,Leasehold (99 yrs),2023-11-06,None,"-12.993306,28.632560",Paid
NDL-0019,Mercy Kapasa,561143/28/5,Garden,1765,Mixed Use,TDR-2017-8116,State Land,2021-09-11,None,"-12.978193,28.651165",Paid
NDL-0020,David Ndalama,623244/44/5,Kansenshi,400,Residential,TDR-2023-6993,Freehold,2024-05-02,None,"-12.968100,28.638855",Paid
NDL-0021,Chileshe Kaunda,233248/21/9,Kitwe Road,8000,Agricultural,TDR-2012-1564,State Land,2022-02-23,None,"-12.981217,28.657209",Paid
NDL-0022,Memory Mwanza,963806/35/2,Chipulukusu,733,Mixed Use,TDR-2017-9501,Leasehold (99 yrs),2024-04-05,None,"-12.970749,28.639316",Arrears
NDL-0023,Peter Sichone,284844/37/3,Railway Line,1537,Mixed Use,TDR-2007-6239,Leasehold (99 yrs),2020-04-17,Double_Allocation,"-12.961826,28.664550",Paid
NDL-0024,George Chanda,922258/25/4,Kitwe Road,1290,Mixed Use,TDR-2009-3569,Leasehold (99 yrs),2008-04-09,None,"-12.960653,28.634460",Paid
NDL-0025,Ndola Estate Co,761204/11/2,Town Centre,673,Mixed Use,TDR-2022-5040,Leasehold (99 yrs),2015-08-14,None,"-12.971098,28.665300",Paid
NDL-0026,Lubuto Cooperative Enterprises,248010/33/6,Masala,8000,Industrial,TDR-2007-7147,Leasehold (99 yrs),2006-06-24,None,"-12.992792,28.645233",Paid
NDL-0027,Moses Sichone,780145/37/5,Masala,8000,Industrial,TDR-2006-2714,Leasehold (99 yrs),2008-01-28,None,"-12.990453,28.667110",Paid
NDL-0028,Mulenga Sitali,947272/19/6,Garden,786,Mixed Use,TDR-2014-8732,Leasehold (99 yrs),2016-02-15,None,"-12.976184,28.621529",Paid
NDL-0029,Victor Tembo,508649/13/1,Railway Line,300,Residential,TDR-2006-1107,Leasehold (50 yrs),2014-08-02,Boundary_Dispute,"-12.996698,28.670350",Paid
NDL-0030,Linda Mulilo,485489/26/1,Railway Line,1845,Mixed Use,TDR-2024-8570,Leasehold (99 yrs),2023-01-31,None,"-12.969247,28.667247",Paid
NDL-0031,Joseph Chanda,805380/22/4,Ndeke,200,Residential,TDR-2008-9879,Leasehold (50 yrs),2018-09-07,None,"-12.977978,28.653251",Paid
NDL-0032,Mwansa Ndalama,563112/37/5,Itawa,200,Residential,TDR-2017-5968,State Land,2012-03-06,None,"-12.992930,28.637953",Paid
NDL-0033,Patricia Mulilo,114489/28/9,Mapalo,400,Commercial,TDR-2007-7655,Leasehold (99 yrs),2016-01-31,None,"-12.969476,28.670055",Paid
NDL-0034,Mulenga Mumba,826297/20/5,Chililabombwe Road,800,Commercial,TDR-2020-8350,State Land,2014-06-05,Caveat,"-12.970036,28.652527",Paid
NDL-0035,Lubuto Cooperative Industrial,658951/19/5,Twapia,5000,Agricultural,TDR-2019-3735,Leasehold (65 yrs),2024-08-19,Mortgaged,"-12.967733,28.670507",Paid
NDL-0036,ZamBuild PLC,803457/35/2,Town Centre,500,Commercial,TDR-2017-1087,Leasehold (99 yrs),2017-10-10,None,"-12.990138,28.667053",Paid
NDL-0037,UrbanDevelopers Enterprises,593691/19/4,Mushili,400,Residential,TDR-2005-2909,Freehold,2014-09-27,None,"-12.971660,28.651141",Paid
NDL-0038,UrbanDevelopers Industrial,977895/38/7,Mushili,1000,Residential,TDR-2013-2918,Leasehold (50 yrs),2010-08-22,None,"-12.985046,28.628128",Paid
NDL-0039,Nchimunya Chanda,216249/47/4,Kabushi,800,Residential,TDR-2005-8044,State Land,2024-07-28,None,"-12.996392,28.663329",Paid
NDL-0040,Linda Banda,314246/43/3,Ndeke,10000,Industrial,TDR-2007-7831,Leasehold (65 yrs),2011-10-22,Auctioned,"-12.989845,28.660648",Arrears
NDL-0041,Central Agro Group,869292/41/5,Chililabombwe Road,1032,Mixed Use,TDR-2016-7001,Freehold,2010-05-03,None,"-12.986969,28.621243",Paid
NDL-0042,George Mulilo,605657/44/7,Northrise,10000,Agricultural,TDR-2011-3483,State Land,2010-12-14,None,"-12.977605,28.650515",Paid
NDL-0043,David Mulilo,289240/15/6,Masala,2000,Agricultural,TDR-2015-8947,Leasehold (99 yrs),2005-02-25,None,"-12.974596,28.668095",Paid
NDL-0044,Peter Kaunda,823931/21/6,Industrial Area,1014,Mixed Use,TDR-2011-8094,State Land,2014-12-31,None,"-12.983882,28.632606",Paid
NDL-0045,Central Agro Ltd,158289/22/3,Lubuto,5000,Industrial,TDR-2018-8618,State Land,2008-01-08,Mortgaged,"-12.991527,28.643119",Paid
NDL-0046,Victor Kaunda,482229/46/6,Kitwe Road,600,Residential,TDR-2006-5871,Leasehold (65 yrs),2023-05-26,Caveat,"-12.997999,28.625798",Paid
NDL-0047,Chanda Chola,249543/20/9,Railway Line,866,Mixed Use,TDR-2023-8294,Freehold,2024-03-05,None,"-12.983875,28.673844",Paid
NDL-0048,Alice Mulilo,606187/30/2,Northrise,20000,Agricultural,TDR-2011-9219,Leasehold (99 yrs),2011-02-04,Mortgaged,"-12.974377,28.651657",Paid
NDL-0049,Mukuka Mulilo,416361/43/7,Mushili,1500,Agricultural,TDR-2008-5063,Leasehold (50 yrs),2010-12-14,None,"-12.984543,28.655830",Paid
NDL-0050,George Sichone,360645/43/2,Mushili,1500,Agricultural,TDR-2008-7143,State Land,2006-04-20,None,"-12.970756,28.661708",Paid
NDL-0051,Mwansa Kaunda,483119/10/2,Masala,8000,Industrial,TDR-2023-3311,State Land,2006-12-24,None,"-12.993171,28.655589",Paid
NDL-0052,Alice Ndalama,686340/34/6,Northrise,1200,Commercial,TDR-2005-4096,Leasehold (99 yrs),2010-09-12,None,"-12.971033,28.638271",Paid
NDL-0053,Chibwe Tembo,213230/28/4,Mapalo,300,Commercial,TDR-2009-5396,Leasehold (50 yrs),2006-11-29,None,"-12.981149,28.635816",Paid
NDL-0054,Lubuto Cooperative Industrial,946852/30/9,Chifubu,1500,Agricultural,TDR-2007-4927,Freehold,2011-05-30,None,"-12.988841,28.652991",Paid
NDL-0055,Faith Mwanza,808386/48/6,Town Centre,5000,Industrial,TDR-2009-5570,Freehold,2011-02-10,None,"-12.984323,28.634488",Paid
NDL-0056,Nchimunya Sitali,455509/35/2,Town Centre,8000,Industrial,TDR-2024-8499,Leasehold (65 yrs),2018-05-27,None,"-12.984416,28.673385",Paid
NDL-0057,Brian Mulenga,610073/44/9,Chililabombwe Road,400,Commercial,TDR-2022-9554,Leasehold (65 yrs),2022-07-25,None,"-12.994893,28.661303",Paid
NDL-0058,Chanda Phiri,227180/14/1,Masala,300,Residential,TDR-2008-4767,State Land,2021-02-28,None,"-12.995381,28.647456",Paid
NDL-0059,Beatrice Zulu,119959/17/3,Chifubu,3000,Industrial,TDR-2022-4270,Leasehold (99 yrs),2020-09-06,None,"-12.995741,28.671221",Paid
NDL-0060,Patrick Tembo,389690/13/5,Industrial Area,1390,Mixed Use,TDR-2014-9528,Leasehold (50 yrs),2022-09-17,None,"-12.968041,28.620499",Paid
NDL-0061,Chipo Ndalama,233795/35/7,Kabushi,10000,Industrial,TDR-2024-8604,Leasehold (99 yrs),2009-10-20,Double_Allocation,"-12.973767,28.642788",Paid
NDL-0062,Chileshe Kaluba,559266/25/4,Kitwe Road,2000,Industrial,TDR-2019-2507,Leasehold (99 yrs),2013-08-16,None,"-12.997905,28.643903",Paid
NDL-0063,Copperbelt Logistics Industrial,204912/47/1,Town Centre,800,Commercial,TDR-2005-9071,Leasehold (99 yrs),2024-12-21,None,"-12.980303,28.629978",Paid
NDL-0064,Chanda Tembo,775352/11/3,Kitwe Road,300,Commercial,TDR-2010-9051,State Land,2020-09-02,None,"-12.989195,28.666380",Paid
NDL-0065,Mulenga Kapasa,141160/14/4,Chifubu,20000,Industrial,TDR-2006-8164,Leasehold (99 yrs),2013-07-03,Boundary_Dispute,"-12.972662,28.630086",Arrears
NDL-0066,Nelson Ndalama,964914/29/8,Mushili,5000,Agricultural,TDR-2010-5237,Leasehold (99 yrs),2019-06-25,None,"-12.977766,28.624711",Paid
NDL-0067,Copperbelt Logistics Industrial,513160/36/6,Northrise,1500,Commercial,TDR-2005-2926,Leasehold (50 yrs),2016-05-08,None,"-12.984038,28.646550",Arrears
NDL-0068,Central Agro Industrial,241319/14/7,Chifubu,3000,Industrial,TDR-2017-1257,State Land,2015-04-17,None,"-12.975269,28.660050",Paid
NDL-0069,UrbanDevelopers Ltd,291750/31/8,Chipulukusu,1044,Mixed Use,TDR-2020-4267,State Land,2008-12-14,None,"-12.977237,28.669416",Paid
NDL-0070,Alice Sichone,620228/22/7,Garden,10000,Industrial,TDR-2005-5897,Leasehold (99 yrs),2014-12-02,None,"-12.961552,28.660556",Paid
NDL-0071,Esther Sichone,912553/45/4,Ndeke,1880,Mixed Use,TDR-2024-1933,Freehold,2017-09-06,None,"-12.966829,28.664477",Paid
